ITEM_ID,GENRES,DESCRIPTION
44,Points of Interest & Landmarks,
45,Points of Interest & Landmarks,
46,Points of Interest & Landmarks,
47,Points of Interest & Landmarks|Monuments & Statues,
48,Points of Interest & Landmarks,
49,Points of Interest & Landmarks,
50,Points of Interest & Landmarks|Historic Walking Areas|Architectural Buildings,
51,Speciality Museums|Points of Interest & Landmarks,
52,Points of Interest & Landmarks,
53,Points of Interest & Landmarks,
54,Historic Sites|Points of Interest & Landmarks,
55,Points of Interest & Landmarks,
56,Points of Interest & Landmarks,
57,Points of Interest & Landmarks,
58,Points of Interest & Landmarks,
59,Points of Interest & Landmarks,
60,Points of Interest & Landmarks|Architectural Buildings|Churches & Cathedrals,
61,Historic Sites|Points of Interest & Landmarks|Architectural Buildings,
62,Points of Interest & Landmarks,
63,Points of Interest & Landmarks|Bridges,
64,Points of Interest & Landmarks|Architectural Buildings,
65,Neighbourhoods|Points of Interest & Landmarks,
66,Points of Interest & Landmarks|Cemeteries|Scenic Walking Areas,
67,Points of Interest & Landmarks|Parks|Gardens,
68,Points of Interest & Landmarks,"""The Humber Gallery and Collection provides creative programming and access to artwork for Humber College and the surrounding neighbourhoods. The gallery and collection aim to foster connections between the arts and experiential education. The gallery is open Monday to Friday, 10am to 5pm."""
69,Points of Interest & Landmarks|Architectural Buildings,"""Heading to Toronto this summer? Go back in time at historic Osgoode Hall with free daily guided tours, led by the Law Society of Ontario. Tour highlights: The Atrium-Go back in time under the stained-glass skylight of the Atrium, across the geometric tile floor and architecture reminiscent of an Italian palazzo. The Great Library - With its magnificent spiral staircase, 40’ ceilings and spectacular ornamental plaster, the Great Library is sure to be a highlight of the tour. The East Wing - In use since 1832, the East Wing has retained much of its Victorian era charm. 19th century courtroom - Osgoode Hall contains ten working courtrooms, several of which have been restored to their original early 19th century splendor. Convocation Hall - Inspired by the medieval Inns of Court in England, Convocation Hall was originally built as an examination room for law students."""
70,Points of Interest & Landmarks,"""Unusual, cutting-edge TV station with 100 fixed, remote control cameras located throughout the city."""
71,Points of Interest & Landmarks,
72,Islands|Parks,"""This park in Toronto is a haven for travelers looking to spend a fun-filled day in the great outdoors. Rent a bike at Centre Island Pier—which has fantastic views of Lake Ontario—and explore the park's many trails and paths. You can also have a picnic at Olympic Island while admiring the stunning views of the Toronto skyline. The kids will love the Centreville Amusement Park and petting zoo, too. In the evening, head to Hanlan’s Point Beach to catch one of the best sunsets in Toronto. The park can be explored on a bike tour of Toronto, which often includes other sights along the city's waterfront. – Tripadvisor"""
73,Aquariums,"""Explore the Waters of the World at Ripley's Aquarium of Canada. Located in the heart of downtown Toronto at the base of the CN Tower, the aquarium is Toronto's must-see attraction for tourists and locals of all ages. Immerse yourself in a world of 20,000 aquatic animals and discover your own underwater adventure. The Aquarium features North America’s longest underwater viewing tunnel with more than 5.7 million litres of water and over 100 interactive opportunities. Get up close and personal with several touch exhibits featuring horseshoe crabs, sharks, scarlet cleaner shrimp, and stingrays as well as daily dive shows every 2 hours. This awe-inspiring attraction consists of nine carefully curated galleries showcasing a cross section of saltwater and freshwater environments from around the world – starting with species from Toronto’s backyard, the Great Lakes basin."""
74,Parks,"""Popular urban oasis offers a variety of outdoor recreation including ice-skating, baseball games, nature hikes and exploring the park's greenhouse."""
75,Zoos,"""Your Toronto Zoo is committed to connecting people, animals and conservation to fight extinction and we are excited to be welcoming back you and your families. Take a drive on the WILD side and experience our Zoo comfortably from your own vehicle with our Scenic Safari Drive-Thru or enjoy our new one-way walking routes. To further enrich your visit, why not add on a Wild Encounter to get up close and personal with some of our animals! For more information, including hours of operation, please visit our website: http://www.torontozoo.com/"""
76,Gardens,"""Garden enthusiasts will enjoy a stroll through this manicured landscape."""
77,Gardens,"""Donated by a prominent local philanthropist, these gardens boast a beautiful glass-domed Victorian structure."""
78,Points of Interest & Landmarks|Historic Walking Areas|Gardens,"""A former brick making factory, Evergreen Brick Works is now a place where the world can experience sustainable practices that enable flourishing cities of the future. Evergreen Brick Works connects citizens, business, academia and government to shape our cities for the better. For real. Open daily and year-round, Evergreen Brick Works engages visitors in a full suite of attractions and events including our Saturday Farmers' Market, nature trails for hiking and cycling, site tours, exhibits, conferences, festivals, nature-based camps for youth and a sustainable garden market and eco-store."""
79,Parks|Gardens,"""Landscape designer Julie Messervy and a group of landscape architects from Toronto's Parks and Recreation Department designed the waterfront's Music Garden in such a way that it actually interprets in nature Bach's First Suite for Unaccompanied Cello. Starting off with the curves and bends of the riverscape, guests make their way through six sections of the garden ending at the Giant Grass Steps, which form a curved amphitheater where performances take place in the summer."""
80,Parks,
81,Beaches,
82,Biking Trails|Lookouts|Parks,
83,Architectural Buildings|Parks|Government Buildings,"""Ontario's provincial parliament buildings, fine examples of high Victorian architecture."""
84,Nature & Wildlife Areas,"""A unique place near downtown Toronto to experience nature, and one of the best places for bird-watching in the city, with more than 300 recorded species. Use the menu below to find details on visiting the park, trails, events, festival, programs, restoration, and research."""
85,Parks,
86,Beaches,"""Known as \""The Beach\"" or \""The Beaches,\"" this eastern side of Toronto is a popular tourist spot as it offers a completely different flavor than downtown brings. There are plenty of historic buildings and independent specialty shops, but the main selling point is several kilometers of boardwalk surrounded by a sandy beach."""
87,Parks|Gardens,
88,Gardens,"""Toronto Botanical Garden offers an array of 17 award-winning themed gardens spanning nearly four acres, designed to educate and inspire. You'll also find a complete range of innovative indoor and outdoor learning experiences for all ages including programs, garden tours, nature day camps, organic farmers' market and an extensive horticultural library; LEED Silver Certified Building with an energy-efficient sloping green roof and award-winning ecologically conscious design; rental facilities; garden shop and seasonal cafe."""
89,Sports Complexes|Parks,
90,Beaches,
91,Parks,
92,Biking Trails|Parks|Playgrounds,
93,Nature & Wildlife Areas|Parks|Hiking Trails,
94,Parks,"""A unique 88-acre (36-hectare) public park where art meets nature. Located atop the Scarborough Bluffs, Guild Park includes formal gardens, forest areas and architectural fragments preserved from notable - and now demolished - buildings. Landmarks include the Greek Theatre, created from the marble arches of the 1912 Bank of Toronto; the facade of the 1895 Temple Building, once the tallest structure in the Britsh Empire, and public artwork, including sculptures by E. B. Cox, Sorel Etrog, Emmanuel Hahn, Frances Loring and Florence Wyle. Guild Park is operated by the City of Toronto and open 24/7, year- round. Check Guild Park's website for park events and activities."""
95,Parks,
96,Parks,"""With its beaches and boardwalk, this park is perfect in the summer for a waterside retreat."""
97,Parks|Gardens,
98,Parks,
99,Hiking Trails,
100,Beaches|Parks,
101,Hiking Trails,
102,Parks,
103,Parks,
104,Hiking Trails,
105,Gardens,
106,Hiking Trails,
107,Points of Interest & Landmarks|Architectural Buildings|Parks,
108,Biking Trails|Nature & Wildlife Areas|Parks,
109,Speciality Museums|Parks,
110,Parks,
111,Parks,
112,Nature & Wildlife Areas|Parks,
113,Parks,
114,Parks,
115,Gardens,
116,Ski & Snowboard Areas,
117,Parks,
118,Parks,
119,Beaches,
120,Beaches,
121,Parks|Monuments & Statues,
122,Parks,
123,Parks|Gardens,
124,Hiking Trails,
125,Parks,
126,Zoos,
127,Parks,
128,Parks,
129,Parks,
130,Parks,
131,Nature & Wildlife Areas|Parks|Hiking Trails,
132,Parks,"""Philosopher's Walk is a scenic footpath located in the St George campus of the University of Toronto in Toronto, Ontario. It runs in the north-south direction along the ravine landscape created by Taddle Creek, once a natural waterway that was buried during the Industrial Age and is now flowing underground. The path is bounded by several Toronto landmarks, including the Royal Ontario Museum, the R"""
133,Biking Trails|Hiking Trails,
134,Zoos,"""Originally established in 1959, Far Enough Farm is a longstanding Centre Island staple that is sure to please children and adults alike! This unique petting farm is located just minutes from Toronto's bustling downtown core, and provides city-dwelling children and visitors the opportunity to get up close and personal with over 40 different species of farmyard animals and exotic birds!"""
135,Parks|Gardens,
136,Beaches,
137,Beaches|Parks,
138,Parks,
139,Parks|Playgrounds,
140,Parks,
141,Parks,
142,Bodies of Water|Parks|Hiking Trails,
143,Parks,
144,Parks,
145,Parks,
146,Parks|Playgrounds,
147,Nature & Wildlife Areas|Hiking Trails|Forests,
148,Parks|Gardens,
149,Parks,
150,Parks,
151,Parks,
152,Beaches,
153,Parks,
154,Marinas,
155,Bodies of Water|Parks,
156,Parks,
157,Parks|Gardens,
158,Parks|Playgrounds,
159,Parks,
160,Parks,
161,Parks,
162,Parks,
163,Parks,
164,Parks,
165,Parks,
166,Gardens,
167,Parks,
168,Parks,
169,Parks,
170,Parks|Playgrounds,
171,Parks|Playgrounds,"""Dufferin Grove Park is a City of Toronto Park with enhanced programming. In Winter we feature both leisure and hockey skating on two rink pads, skate rental and a snack bar. Come and leisure skate or play hockey. Fridays reasonably priced gourmet meal served at 6 PM-7 PM. \""The Friday Night Supper\"" has been a Toronto favourite since 2003. In summer join us for the Pizza Oven programming. Bring the kids to the Wading Pool and buy a snack at our famous Cob Café, named for the natural building construction material from which it was built."""
172,Parks,
173,Parks,
174,Hiking Trails,
175,Hiking Trails,
176,Playgrounds,
177,Parks,
178,Parks,
179,Bodies of Water|Parks|Playgrounds,
180,Biking Trails|Parks|Playgrounds,
181,Waterfalls,
182,Biking Trails|Hiking Trails|Jogging Paths & Tracks,
183,Parks,
184,Gardens,"""Available per hour or per day, Post Creative Studio is a Spacious 2-Storey Parkdale live/work loft, thoughtfully curated to include a selection of authentic vintage furniture, lighting, and immersive temporary art installations by our in-house artist. Experience our current installation, \""meadow\"" filled with hundreds of wildflowers while enjoying a morning brunch, mid-day snack or an evening date surrounded by champagne flutes, pillows, candles, blankets and flora - and of course refreshments and snacks. As a full time dedicated studio space, our loft includes an assortment of unique zones, including an elegantly designed living / lounge space, an indoor rock garden, a fully functional kitchen / dining area, a blank, 9ft Paper backdrop ready wall (included), an open concept private washroom, and finally, site specific temporary art installations on the second floor, changing throughout the year. The Space is most suitable for: ⇢ Private Photography ⇢ Commercial (Brand) Photography ⇢ Lifestyle (Content Creation) ⇢ Small (Film) Productions under 10 people ⇢ Small Networking Events / Dinners under 10 people The Space is Not suitable for: ⇢ Parties of any sort ⇢ Large Productions over 10 people ⇢ Large events over 10 people"""
185,Parks|Playgrounds,
186,Parks|Playgrounds,
187,Parks,
188,Biking Trails|Parks|Hiking Trails,
189,Biking Trails|Jogging Paths & Tracks,
190,Parks,
191,Points of Interest & Landmarks|Parks|Gardens,
192,Parks,
193,Parks,
194,Parks,
195,Parks,
196,Parks,
197,Concerts|Parks,
198,Speciality Museums,"""Opened in 1914, the Royal Ontario Museum (ROM) showcases art, culture, and nature from around the globe and across the ages. One of North America's most renowned cultural institutions, Canada's largest museum is home to a world-class collection of more than six million objects and specimens, featured in 40 gallery and exhibition spaces. As the country’s preeminent field research institute and an international leader in new and original findings in biodiversity, palaeontology, earth sciences, the visual arts, material culture and archaeology, the ROM plays a vital role in advancing our global understanding of the artistic, cultural and natural world."""
199,Art Museums,"""With a collection of more than 90,000 works of art, the Art Gallery of Ontario (AGO) is among the largest and most distinguished art museums in North America. An international landmark, the AGO is also one of Canada’s most innovative cultural destinations. Highlights of the Gallery’s world-class collection include iconic Canadian and Inuit works, along with European and contemporary art – all on view in a spectacular building transformed by renowned Toronto-born architect Frank Gehry. After spending time with the AGO’s vast collection, be sure to enjoy a meal or glass of wine at the Gallery’s award-winning restaurant FRANK. Visit shopAGO for a unique collection of artful gifts, one-of-a-kind jewelry, and beautiful art books."""
200,Speciality Museums,"""Honor the achievements of some of the greatest stars in hockey at this shrine to Canada's national sport."""
201,Speciality Museums,"""Little Canada is a journey of discovery through a vast, highly detailed and animated miniature attraction. Enjoy an immersive 90 minute experience exploring the captivating vistas, famous landmarks, iconic cityscapes and little stories of Canada right in the heart of downtown Toronto at 10 Dundas St. East."""
202,Speciality Museums|History Museums,"""The Bata Shoe Museum: For Every Shoe There's a Story The Bata Shoe Museum is home to the world's largest, most comprehensive collection of shoes and footwear-related objects. The mission of the BSM is to contribute to the knowledge and understanding of the role of footwear in the social and cultural life of humanity. Through acquiring, conserving, researching, communicating and exhibiting material evidence related to the history of footwear and shoemaking, the Museum illustrates the living habits, the culture and the customs of people from every corner of the world."""
203,Historic Sites|History Museums,"""Immerse yourself in the 1860s and explore an authentically re-created country village of the Toronto region. At Black Creek Pioneer Village, visitors discover 40 historic buildings, 70 rare and heritage breed animals, 10 gardens growing flowers and plants from heirloom seeds, and exciting programs that engage people of all ages. They meet costumed educators who demonstrate and involve visitors with trades and crafts common in 1860s’ Ontario, tap their toes to music of the era, laugh at the hysterical antics of the History Actors, and have fun engaging in hands-on activities throughout the village!"""
204,Speciality Museums,"""The Aga Khan Museum provides visitors with a window into the artistic, intellectual, and scientific contributions of Muslim civilizations to world heritage."""
205,Historic Sites|History Museums,"""The years between the two Great Wars, when Toronto experienced increased immigration, the vote for women, the stock market crash, prohibition and the introduction of public health and welfare. It's also the time of the Charleston craze, tabloid journalism, new technology and more. And it can all be seen, heard, felt and lived at Spadina Museum - Toronto's only museum to represent the 1920s and 30s, a transformative period that dramatically changed the City. For over a century, Spadina was home to three generations of the Austin family. Opened in 1984, it is one of 10 historic sites operated by the City of Toronto. Spadina Museum completed an extensive interior restoration in 2010, bringing the house back into the twentieth century. Visitors may view what the house looked like during those years through artifacts, furnishings and reproduced and original decor or explore the estate's six acres of restored 1905 gardens. Today, Spadina Museum interprets the interwar period through a rich slate of guided tours, school programs, special events, changing exhibits, lectures and workshops. Spadina Museum is one of 10 historic museums operated by the City of Toronto. Toronto's Historic Sites engage visitors, inspire passion, challenge ideas and connect the past to the present."""
206,Science Museums,"""Where questions spark discovery! The Ontario Science Centre invites you to an exciting visit full of exploration, adventure and innovation! Visitors of all ages can explore more than 500 interactive exhibits, take in live science demonstrations, check out a real-life rain forest and a science arcade and discover the wonders of the galaxy in the Space Hall, home to Toronto’s only public planetarium. Experience how thrilling films can be on our giant screen inside Ontario’s only IMAX® Dome theatre (film tickets sold separately). Science at Home: Science is everywhere, and learning can happen anywhere. That’s why, during our temporary closure due to COVID19, we’re bringing the Science Centre to you! From DIY experiments to science activities to educational resources, we’ve got you covered. Explore the science around you. Whether you’re in the kitchen or the backyard, there are lots of opportunities to ask questions, make observations and test theories."""
207,Art Museums,"""Discover one of the world's most universal and dynamic art forms. Explore the Gardiner Museum's internationally-renowned collections of pottery from the Ancient Americas, Europe, China, and Japan, as well as contemporary ceramics. Visit the Museum's special exhibitions, sign up for a clay class, take part in weekly family art activities, dine at Clay Restaurant, and find the perfect gift at the Gardiner Shop."""
208,Speciality Museums|History Museums,"""Moses Znaimer’s MZTV Museum seeks to protect, preserve & promote the receiving instruments of TV History. Whereas other North American museums of broadcasting feature programs, ours is unique in its focus on the history & evolution of the tech & on the sets themselves The Museum exhibits the world’s most comprehensive collection of TV receivers for the formative 60yr period from the 1920s to the 1980s. It offers displays devoted to receiver design, to TV signals in space, & to the museum’s signature Philco Predicta line of sets. It's home to sets from Marilyn Monroe & Elvis Presley; to the 1939 Worlds’ Fair RCA Phantom Teleceiver, the rarest TV on the planet; to Felix The Cat, the 1st star of TV; & to tributes to John Logie Baird & Philo Farnsworth, the inventors of mechanical & electronic TV The Museum tells the story of the medium, to contribute to the understanding of the impact of TV on the people who watch it, & to recover the names & reputations of the Pioneers who invented it"""
209,Military Museums,"""Explore Canada's largest collection of original War of 1812 buildings and take part in year-round special events on this 43-acre site.. Built in 1793, Fort York National Historic Site is the birthplace of urban Toronto. It is best known as the location where the Battle of York came to its violent climax in 1813 during the War of 1812. The Fort served as the city's primary harbour defence between the 1790s and the 1880s, and was the home of a military garrison until the 1930s. Today, its defensive walls enclose Canada's largest collection of original War of 1812 buildings. Every year, thousands of people visit the site to explore its fascinating history and enjoy its public programs. Fort York is one of 10 historic sites operated by the City of Toronto. Toronto's Historic Sites engage visitors, inspire passion, challenge ideas and connect the past to the present."""
210,Historic Sites|History Museums,"""temporarily closed due to flooding Mackenzie House is the restored home of William Lyon Mackenzie, Toronto's first Mayor, a radical journalist and publisher, and leader of the Rebellion of 1837 in Upper Canada. This house was given to Mackenzie by friends and supporters, when he retired from public life, and in recognition of his many years of serving the community. Mackenzie House is one of 10 historic museums operated by the City of Toronto. Toronto's Historic Sites engage visitors, inspire passion, challenge ideas and connect the past to the present."""
211,Art Galleries|Points of Interest & Landmarks,
212,Speciality Museums|Art Museums|History Museums,"""The Textile Museum of Canada is the only national museum in Canada that explores ideas and builds cultural understanding through the universally relevant media of textiles. Located in the heart of downtown Toronto, the Museum’s permanent collection spans nearly 2,000 years and consists of more than 15,000 artifacts. A leader in the digitization of collections and interactive environments, the Museum has been recognized the world over for innovation in the development of landmark educational, research and creative initiatives."""
213,Historic Sites|History Museums,"""Return to a home you never knew you missed with a visit to Gibson House, a 19th-century farmhouse hidden between the high rises of North York. Step across the threshold and back in time to the 1850s kitchen. Feel welcomed by the warm aroma of wood smoke and beeswax. Explore how David Gibson—Scottish immigrant, land surveyor, farmer, politician and rebel—put his mark on a community, a city and the province. Gibson House offers visitors an opportunity to taste, smell and touch history in a way that few other museums can. Let your senses come alive in this engaging historical family home. Admission General admission is free. Some exhibitions and events may carry a separate charge where noted. Hours of Operation Wednesday to Sunday: 11 a.m. to 4 p.m."""
214,Historic Sites|History Museums,"""Canada's oldest surviving purpose-built post office, in the heart of Toronto's historic St. Lawrence district. Toronto's First Post Office is a museum and full-service postal outlet."""
215,Art Galleries,
216,History Museums,"""A rare example of Georgian architecture, this museum is the restored home of the first Chief Justice of Upper Canada."""
217,Speciality Museums,"""Using interactive displays, this museum documents the history of the Canadian police, as well as its present operations."""
218,Art Galleries,"""For over 25 years, Bay of Spirits has been a world renown gallery offering unique aboriginal art. Located in the heart of Toronto, the gallery displays a wide variety of beautiful native artwork from all across Canada. New location: Across from the AGO, Art Gallery of Ontario 334 Dundas St. West Toronto, Ontario"""
219,Historic Sites|History Museums,"""This rare Regency picturesque cottage is a graceful monument to John and Jemima Howard, the couple who founded High Park. John Howard, one of Toronto's first architects, as well as a City engineer and surveyor, built Colborne Lodge in 1837. Drop in and view the many original furnishings and artifacts and some of John Howard's own watercolours depicting images of early Toronto. Colborne Lodge is one of 11 historic sites operated by the City of Toronto. Toronto's Historic Sites engage visitors, inspire passion, challenge ideas and connect the past to the present. Special events and pre-registered activities are priced separately. Limited free parking. JANUARY - APRIL Open only Friday, Saturday and Sunday Noon to 5. Regular General Admission*: Adults: $8.00 Seniors (65 +) and Youth (13-18 yrs.): $7.00 Children (4-12 yrs.): $5.00 *prices include tax"""
220,Art Galleries,
221,Speciality Museums,"""The Toronto Railway Museum is dedicated to preserving the physical legacy, history and experience of rail transportation in Toronto and Ontario. The museum encompasses Roundhouse Park with Stall 17 as the temporary home of the railway simulator and small artifact display. Don Station houses our gift shop and ticket sales for our Miniature Train ride. Explore the grounds to find our interpretive plaques!"""
222,Speciality Museums,"""Montgomery's Inn is a museum that has been a Toronto landmark for over 180 years. Surrounded by a rapidly expanding metropolis, it continues to provide visual evidence of early 19th-century hospitality. Built in 1830 by Thomas and Margaret Montgomery, the Inn was a place where locals gathered to exchange news, views, as well as a good meal. Exhausted travelers were also offered a bed for the night. City of Toronto Historic Sites work collectively as 10 historic museums including: Colborne Lodge, Fort York National Historic Site, Gibson House Museum, Mackenzie House, Montgomery's Inn, Scarborough Museum, Spadina Museum, Todmorden Mills Heritage Site, York Museum and Zion Schoolhouse."""
223,Art Galleries,
224,Art Galleries|Art Museums,"""Durdy Bayramov Art Foundation, established in 2015, is a non-profit organization dedicated to promoting the legacy of the artist and the ancient Turkmen culture. At our museum you will have the chance to get acquainted with the works of the artist and the culture of his beloved homeland -we have an exclusive collection of Bayramov's paintings, drawings, as well as traditional Turkmen textiles, jewelry and pottery."""
225,History Museums,
226,Speciality Museums|Parks,
227,Art Galleries|Points of Interest & Landmarks,
228,Speciality Museums,"""Interesting Harbourfront museum containing interactive exhibits about boatmaking."""
229,History Museums,"""Set along the walking trails of beautiful Thomson Memorial Park, Scarborough Museum traces the story of this community's rural roots and two centuries of immigration. The museum is situated on property first granted to David and Mary Thomson, who settled in Scarborough about 1798. Originally the farm fields of Scarborough's first settlers, Thomson Memorial Park is now the setting for the Scarborough Museum and its gardens. Every year, the staff of the Scarborough Museum faithfully re-create 19th Century gardens to enhance the surroundings of the museum buildings. Scarborough Museum is one of 10 historic museums operated by the City of Toronto. Toronto's Historic Sites engage visitors, inspire passion, challenge ideas and connect the past to the present. ADMISSION By donation * Some fees apply to special ticketed events and workshops Summer Hours July and August we are open Tuesday to Sunday from 12 noon to 8pm."""
230,History Museums,
231,Art Galleries,"""Canvas Gallery offers a regularly changing, extensive inventory of original artworks by more than 120 established and emerging artists from across Canada. Located in Toronto since 2003, we are a much sought-after alternative to traditional galleries."""
232,Art Galleries,"""Abbozzo Gallery was established in 1993 to represent regional, Canadian and International artists. The gallery exhibits original paintings, prints, works on paper and sculpture in a warm and inviting setting in the heart of Toronto in the arts centre known as 401 Richmond."""
233,Art Galleries,"""Explore the sights and sounds of the historic South St. Lawrence Market, site of Toronto's 19th century City Hall, with a visit to the Market Gallery, where you'll find exhibits and programs on the art, culture and history of Toronto presented in the original city council chamber."""
234,History Museums,
235,Speciality & Gift Shops|Art Galleries|Art Museums,"""Petroff Gallery proudly carries works of visual art and contemporary craft by over 200 Canadian artists and makers. Petroff is a hub for the handmade- featuring Canadian abstract and landscape paintings, phtography and contemporary glass, ceramics and mixed media works. Located in Midtown Toronto, we have established ourselves as advocates for original artwork and are known by our reputation for exceptional client service. Ship worldwide."""
236,Art Galleries,"""Be immersed in 600,000 cubic feet of stunning projection animating the masters’ oeuvre and illuminating the mind of the genius. Wander through giant projections that highlight brushstroke, detail, and colour as you have never experienced them. The exhibition is custom designed to the historic space that housed the Toronto Star’s printing presses at 1 Yonge Street. For updated hours of operations please visit vangoghexhibit.ca/faq"""
237,Speciality Museums,
238,Art Galleries,"""Sandra Ainsley Gallery's early beginnings were located in Hazelton Lanes in Toronto's Yorkville area from 1984 to 1994. Before opening the location was the concept of placing the gallery in a retail setting, much like how you would see in Japan with art primarily selling in high end department stores. In 1989, the gallery opened a location in the lobby of the Toronto Stock Exchange, it was a mechanical room and a very large rough space requiring an architect to create the space. The space launched with a opening exhibition of works by Dale Chihuly, his first exhibition in Canada and the beginning of a very long relationship. The location was designed to allow the gallery to better meet the needs of both private and corporate clients with an already impressive roster of international artists. This is where many corporate clients found the gallery an oasis in the middle of the financial district. It was a unique location and initially people wondered, but it thrived and was an introduction to clients the gallery still does business with. One very important show of note was in 1998 when the gallery did an installation with Dale Chihuly that opened in conjunction with his show Tower of David in Israel, which was a very significant show for the artist. The main gallery moved to the Distillery District from 2002 to 2008 while the other location was still under operation. The space was around 8000 square feet. The gallery took yet another risk and was the first tenant in the area. Again people would question why anyone would open a gallery there. When the new space opened in November, the inaugural exhibition had over 2000 people in attendance and pioneered the largest exhibition by Dale Chihuly ever held in a private gallery. The Distillery District has went on to become a major tourist destination in Toronto. They have now relocated since September 2012 to a renovated industrial warehouse in a location where again one wouldn't quite expect to find a gallery. The space with its 22-foot ceilings, dramatic lighting, and open-concept layout is an ideal backdrop to show the gallery's trademark collections of outstanding artworks. For the third decade, the gallery relocated once again with another inaugural Dale Chihuly exhibition. The new space was designed especially to represent international artists who work primarily in glass, clay and mixed media and has consistently shown many of the same artists over the last 30 years such as Toots Zynski, Martin Blank, Dan Daily, and Phillip Baldwin & Monica Guggisberg. These large-scale installations, flexible and highly contemporary and insist that viewers raise questions. The gallery also has a focus on emerging talent from all over the world, but specifically Canadian."""
239,Art Museums,"""Toronto’s first interactive 3D mural art exhibit allows you to be part of the art itself. Strike a pose, snap a picture, and share your experience with the world! Spark your imagination and challenge your creativity! With endless opportunities to explore, interact and have fun."""
240,Military Museums,
